name,type,status,original_language,genres,origin_country,number_of_seasons,number_of_episodes,episode_run_time,vote_count,vote_average,popularity,first_air_date
Money Heist,Scripted,Ended,es,"Crime, Drama",ES,3,41,70,17836,8.257,96.354,2017-05-02
The Walking Dead,Scripted,Ended,en,"Action & Adventure, Drama, Sci-Fi & Fantasy",US,11,177,42,15432,8.121,489.746,2010-10-31
Lucifer,Scripted,Ended,en,"Crime, Sci-Fi & Fantasy",US,6,93,45,13870,8.486,416.668,2016-01-25
Riverdale,Scripted,Ended,en,"Crime, Drama, Mystery",US,7,137,45,13180,8.479,143.75,2017-01-26
The Good Doctor,Scripted,Returning Series,en,Drama,US,6,116,43,11768,8.503,681.614,2017-09-25
The Flash,Scripted,Ended,en,"Drama, Sci-Fi & Fantasy",US,9,184,44,10642,7.797,319.767,2014-10-07
The Big Bang Theory,Scripted,Ended,en,Comedy,US,12,279,22,10322,7.879,344.121,2007-09-24
Loki,Scripted,Returning Series,en,"Drama, Sci-Fi & Fantasy",US,2,12,52,10136,8.2,276.759,2021-06-09
Grey's Anatomy,Scripted,Returning Series,en,Drama,US,19,419,43,9512,8.253,1647.218,2005-03-27
The Simpsons,Scripted,Returning Series,en,"Family, Animation, Comedy",US,35,762,22,9136,7.999,439.488,1989-12-17
Euphoria,Scripted,Returning Series,en,"Drama, Crime",US,2,16,60,9008,8.353,197.456,2019-06-16
Peaky Blinders,Scripted,Ended,en,"Drama, Crime",GB,6,36,58,8836,8.546,344.477,2013-09-12
Elite,Scripted,Returning Series,es,"Crime, Mystery, Drama",ES,7,49,50,8817,8.071,100.711,2018-10-05
The Boys,Scripted,Returning Series,en,"Sci-Fi & Fantasy, Action & Adventure",US,4,32,60,8721,8.474,256.856,2019-07-25
Rick and Morty,Scripted,Returning Series,en,"Animation, Comedy, Sci-Fi & Fantasy, Action & Adventure",US,7,71,22,8595,8.7,429.047,2013-12-02
The Vampire Diaries,Scripted,Ended,en,"Drama, Sci-Fi & Fantasy",US,8,171,43,8356,8.337,633.313,2009-09-10
The Falcon and the Winter Soldier,Miniseries,Ended,en,"Action & Adventure, Drama",US,1,6,50,8008,7.693,35.521,2021-03-19
Naruto Shippūden,Scripted,Ended,ja,"Animation, Action & Adventure, Sci-Fi & Fantasy",JP,20,500,25,7712,8.6,128.823,2007-02-15
The 100,Scripted,Ended,en,"Sci-Fi & Fantasy, Drama, Action & Adventure",US,7,100,43,7666,7.916,127.224,2014-03-19
Friends,Scripted,Ended,en,Comedy,US,10,228,25,7192,8.444,214.333,1994-09-22
Supernatural,Scripted,Ended,en,"Drama, Mystery, Sci-Fi & Fantasy",US,15,327,45,6909,8.304,439.934,2005-09-13
Vikings,Scripted,Ended,en,"Action & Adventure, Drama, War & Politics",CA,6,89,44,6385,8.086,294.196,2013-03-03
Dark,Scripted,Ended,de,"Drama, Sci-Fi & Fantasy, Mystery",DE,3,26,53,6049,8.432,86.861,2017-12-01
House,Scripted,Ended,en,"Drama, Mystery",US,8,177,44,5799,8.595,239.575,2004-11-16
Cobra Kai,Scripted,Returning Series,en,"Action & Adventure, Drama, Comedy",US,6,50,30,5734,8.22,118.256,2018-05-02
Demon Slayer: Kimetsu no Yaiba,Scripted,Returning Series,ja,"Animation, Action & Adventure, Sci-Fi & Fantasy",JP,5,55,24,5618,8.7,82.89,2019-04-06
Arrow,Scripted,Ended,en,"Crime, Drama, Mystery, Action & Adventure",US,8,170,42,5569,6.793,174.419,2012-10-10
Naruto,Scripted,Ended,ja,"Animation, Action & Adventure, Sci-Fi & Fantasy",JP,4,220,24,5189,8.36,135.573,2002-10-03
Rebelde,Scripted,Ended,es,"Comedy, Soap, Drama",MX,3,441,42,5017,8.433,92.914,2004-10-04
Westworld,Scripted,Canceled,en,"Sci-Fi & Fantasy, Western",US,4,36,60,4948,8.075,66.988,2016-10-02
The Act,Scripted,Ended,en,"Drama, Crime",US,1,8,53,4899,7.57,20.258,2019-03-20
Sherlock,Scripted,Ended,en,"Crime, Drama, Mystery",GB,4,12,90,4716,8.537,71.224,2010-07-25
The Seven Deadly Sins,Scripted,Ended,ja,"Action & Adventure, Animation, Sci-Fi & Fantasy",JP,4,96,24,4710,8.462,10.059,2014-10-05
Dragon Ball Super,Scripted,Ended,ja,"Animation, Action & Adventure, Sci-Fi & Fantasy",JP,1,131,24,4646,8.208,78.741,2015-07-05
Prison Break,Scripted,Ended,en,"Action & Adventure, Crime, Drama",US,5,88,45,4508,8.094,213.262,2005-08-29
My Hero Academia,Scripted,Returning Series,ja,"Action & Adventure, Animation",JP,7,138,24,4496,8.673,31.82,2016-04-03
Suits,Scripted,Ended,en,Drama,US,9,134,42,4470,8.208,745.23,2011-06-23
Anne with an E,Scripted,Canceled,en,"Drama, Family",CA,3,27,47,4383,8.696,64.727,2017-03-19
How I Met Your Mother,Scripted,Ended,en,Comedy,US,9,208,22,4376,8.158,319.144,2005-09-19
Miraculous: Tales of Ladybug & Cat Noir,Scripted,Returning Series,fr,"Action & Adventure, Animation, Kids",FR,6,129,24,4197,8.043,358.394,2015-10-19
Dark Desire,Scripted,Ended,es,"Mystery, Drama",MX,2,33,35,4181,7.3,90.553,2020-07-15
Mr. Robot,Scripted,Ended,en,"Crime, Drama",US,4,45,43,4119,8.242,61.986,2015-06-24
Dragon Ball Z,Scripted,Ended,ja,"Animation, Sci-Fi & Fantasy, Action & Adventure",JP,9,291,26,4070,8.3,178.45,1989-04-26
One Piece,Scripted,Returning Series,ja,"Action & Adventure, Comedy, Animation",JP,21,1080,24,4052,8.725,114.21,1999-10-20
Marvel's Daredevil,Scripted,Canceled,en,"Crime, Drama, Action & Adventure",US,3,39,52,4046,8.172,53.036,2015-04-10
Supergirl,Scripted,Ended,en,"Drama, Sci-Fi & Fantasy, Action & Adventure",US,6,126,42,3974,7.334,143.229,2015-10-26
Malcolm in the Middle,Scripted,Ended,en,"Family, Comedy",US,7,151,22,3896,8.495,188.836,2000-01-09
Family Guy,Scripted,Returning Series,en,"Animation, Comedy",US,22,411,22,3884,7.288,1073.325,1999-01-31
13 Reasons Why,Scripted,Ended,en,"Drama, Mystery",US,4,49,57,3827,7.647,131.916,2017-03-31
South Park,Scripted,Returning Series,en,"Animation, Comedy",US,26,321,22,3813,8.359,191.901,1997-08-13
Smallville,Scripted,Ended,en,"Sci-Fi & Fantasy, Action & Adventure, Drama",US,10,216,43,3730,8.232,243.557,2001-10-16
Chucky,Scripted,Returning Series,en,"Crime, Sci-Fi & Fantasy, Drama",US,3,24,42,3724,7.9,180.715,2021-10-12
Invincible,Scripted,Returning Series,en,"Animation, Sci-Fi & Fantasy, Action & Adventure, Drama",US,2,12,45,3717,8.677,74.551,2021-03-25
Scorpion,Scripted,Canceled,en,"Action & Adventure, Drama, Crime",US,4,93,45,3688,8.246,144.243,2014-09-22
What If...?,Scripted,Returning Series,en,"Animation, Action & Adventure, Sci-Fi & Fantasy",US,1,9,34,3676,8.208,53.046,2021-08-11
Dexter,Scripted,Ended,en,"Crime, Drama, Mystery",US,8,96,55,3675,8.19,227.846,2006-10-01
Death Note,Scripted,Ended,ja,"Animation, Mystery, Sci-Fi & Fantasy",JP,1,37,22,3605,8.64,110.221,2006-10-04
Avatar: The Last Airbender,Scripted,Ended,en,"Animation, Action & Adventure, Sci-Fi & Fantasy",US,3,61,25,3497,8.69,88.002,2005-02-21
Criminal Minds,Scripted,Returning Series,en,"Crime, Drama, Mystery",US,16,334,42,3413,8.324,275.182,2005-09-22
Law & Order: Special Victims Unit,Scripted,Returning Series,en,"Crime, Drama, Mystery",US,24,538,43,3389,7.962,953.554,1999-09-20
The Mentalist,Scripted,Ended,en,"Crime, Drama, Mystery",US,7,151,43,3378,8.39,232.385,2008-09-23
Under the Dome,Scripted,Canceled,en,"Drama, Mystery, Sci-Fi & Fantasy",US,3,39,42,3355,7.214,108.565,2013-06-24
Pablo Escobar: The Drug Lord,Scripted,Ended,es,"Crime, Drama",CO,1,113,45,3350,7.603,359.573,2012-05-28
Arcane,Scripted,Returning Series,en,"Animation, Drama, Sci-Fi & Fantasy, Action & Adventure",US,2,9,41,3341,8.74,42.447,2021-11-06
All of Us Are Dead,Scripted,Returning Series,ko,"Action & Adventure, Drama, Sci-Fi & Fantasy",KR,2,12,65,3335,8.354,107.108,2022-01-28
Chilling Adventures of Sabrina,Scripted,Ended,en,"Mystery, Sci-Fi & Fantasy, Drama",US,2,36,60,3320,8.242,123.963,2018-10-26
Marvel's Agents of S.H.I.E.L.D.,Scripted,Ended,en,"Drama, Sci-Fi & Fantasy, Action & Adventure",US,7,136,43,3221,7.492,289.802,2013-09-24
One-Punch Man,Scripted,Returning Series,ja,"Action & Adventure, Animation, Comedy",JP,3,24,24,3207,8.381,69.453,2015-10-05
The Purge,Scripted,Canceled,en,"Mystery, Crime, Drama",US,2,20,43,3204,6.929,35.783,2018-09-04
Siren,Scripted,Canceled,en,"Sci-Fi & Fantasy, Drama",US,3,36,42,3171,7.75,49.087,2018-03-29
Gotham,Scripted,Ended,en,"Drama, Crime, Sci-Fi & Fantasy",US,5,100,43,3157,7.6,100.464,2014-09-22
"Yo soy Betty, la fea",Scripted,Ended,es,"Soap, Comedy, Drama",CO,1,335,39,3133,8.335,123.868,1999-10-25
The Originals,Scripted,Ended,en,"Sci-Fi & Fantasy, Drama, Mystery",US,5,92,45,3125,8.6,99.452,2013-10-03
Band of Brothers,Miniseries,Ended,en,"Drama, War & Politics",US,1,10,60,3107,8.488,70.527,2001-09-09
Love Is In The Air,Scripted,Ended,tr,"Drama, Comedy",TR,2,52,130,2920,8.2,261.128,2020-07-08
Bones,Scripted,Ended,en,"Crime, Drama",US,12,246,40,2891,8.264,304.742,2005-09-13
Super Dragon Ball Heroes,Scripted,Returning Series,ja,"Animation, Action & Adventure, Sci-Fi & Fantasy",JP,6,49,10,2882,7.564,122.817,2018-07-01
Brooklyn Nine-Nine,Scripted,Ended,en,"Comedy, Crime",US,8,152,21,2875,8.236,605.277,2013-09-17
Grimm,Scripted,Ended,en,"Drama, Mystery, Sci-Fi & Fantasy",US,6,122,45,2869,8.283,167.114,2011-10-28
Futurama,Scripted,Returning Series,en,"Animation, Comedy, Sci-Fi & Fantasy",US,8,134,22,2867,8.396,185.307,1999-03-28
Two and a Half Men,Scripted,Ended,en,"Comedy, Drama",US,12,262,30,2843,7.452,489.162,2003-09-22
The Blacklist,Scripted,Ended,en,"Drama, Crime, Mystery",US,10,218,43,2834,7.619,416.841,2013-09-23
It,Miniseries,Ended,en,"Mystery, Drama",US,1,2,90,2794,6.905,61.231,1990-11-18
Jujutsu Kaisen,Scripted,Returning Series,ja,"Animation, Action & Adventure, Sci-Fi & Fantasy",JP,1,47,24,2788,8.563,614.553,2020-10-03
Dragon Ball,Scripted,Ended,ja,"Animation, Action & Adventure, Sci-Fi & Fantasy",JP,1,153,25,2788,8.2,7.884,1986-02-26
You,Scripted,Returning Series,en,Drama,US,5,40,45,2788,8.078,71.284,2018-09-09
True Detective,Scripted,Returning Series,en,Drama,US,4,30,60,2787,8.305,76.26,2014-01-12
The End of the F***ing World,Scripted,Ended,en,"Comedy, Drama, Crime",GB,2,16,21,2786,8.094,31.754,2017-10-24
Legacies,Scripted,Canceled,en,"Sci-Fi & Fantasy, Drama",US,4,68,43,2769,8.496,148.914,2018-10-25
SpongeBob SquarePants,Scripted,Returning Series,en,"Animation, Comedy, Family, Sci-Fi & Fantasy",US,14,578,11,2747,7.617,47.867,1999-05-01
The X-Files,Scripted,Ended,en,"Sci-Fi & Fantasy, Mystery, Crime",US,11,218,45,2726,8.397,643.863,1993-09-10
Sin senos sí hay paraíso,Scripted,Ended,es,"Action & Adventure, Crime, Drama, Mystery",CO,4,340,50,2676,7.541,113.424,2016-07-19
Doctor Who,Scripted,Returning Series,en,"Action & Adventure, Drama, Sci-Fi & Fantasy",GB,13,153,80,2639,7.4,173.153,2005-03-26
iZombie,Scripted,Ended,en,"Drama, Crime, Sci-Fi & Fantasy",US,5,71,42,2628,7.797,65.145,2015-03-17
Sons of Anarchy,Scripted,Ended,en,"Crime, Drama",US,7,92,45,2569,8.445,376.377,2008-09-03
Goblin,Scripted,Ended,ko,"Drama, Sci-Fi & Fantasy, Comedy",KR,1,16,77,2545,8.66,52.348,2016-12-02
Gravity Falls,Scripted,Ended,en,"Animation, Comedy, Mystery, Sci-Fi & Fantasy, Kids",US,2,40,22,2512,8.531,300.167,2012-06-15
Narcos,Scripted,Ended,en,"Crime, Drama",US,3,30,57,2493,8.006,76.746,2015-08-28
Adventure Time,Scripted,Ended,en,"Animation, Comedy, Sci-Fi & Fantasy",US,10,279,11,2474,8.477,316.301,2010-04-05
The Handmaid's Tale,Scripted,Returning Series,en,"Drama, Sci-Fi & Fantasy",US,5,56,50,2457,8.2,684.333,2017-04-26
Pretty Little Liars,Scripted,Ended,en,"Drama, Mystery",US,7,161,41,2425,8.028,509.785,2010-06-08
Moon Knight,Miniseries,Ended,en,"Action & Adventure, Sci-Fi & Fantasy, Mystery",US,1,6,47,2392,7.816,49.843,2022-03-30
Modern Family,Scripted,Ended,en,Comedy,US,11,250,25,2346,7.841,168.723,2009-09-23
Locked Up,Scripted,Ended,es,Drama,ES,4,40,50,2318,8.017,104.169,2015-04-20
Blindspot,Scripted,Ended,en,"Crime, Drama, Action & Adventure",US,5,100,43,2293,7.378,67.007,2015-09-21
Boruto: Naruto Next Generations,Scripted,Returning Series,ja,"Action & Adventure, Animation",JP,1,293,25,2293,7.89,149.166,2017-04-05
Seven Deadly Sins,Documentary,Ended,en,Documentary,US,1,7,60,2282,7.7,7.537,2008-12-29
Fargo,Scripted,Returning Series,en,"Crime, Drama",US,5,51,50,2278,8.313,133.703,2014-04-15
Shameless,Scripted,Ended,en,"Drama, Comedy",US,11,134,57,2268,8.2,271.993,2011-01-09
Control Z,Scripted,Ended,es,Drama,MX,3,24,36,2242,8.227,20.708,2020-05-22
Orange Is the New Black,Scripted,Ended,en,"Comedy, Drama",US,7,91,60,2222,7.688,103.656,2013-07-11
Marvel's The Punisher,Scripted,Canceled,en,"Action & Adventure, Crime, Drama",US,2,26,53,2207,8.119,48.888,2017-11-17
